ds;Open;High;Low;Vol.;Change %;Year;Month;Day;unique_id;Day name;y
2023-02-24 00:00:00;7359.76;7366.07;7187.27;94.52M;-0.0178;2023;2;24;3145;6;7187.27
2023-02-25 00:00:00;7359.76;7366.07;7187.27;94.52M;-0.0178;2023;2;24;3146;6;7214.821844
2023-02-26 00:00:00;7359.76;7366.07;7187.27;94.52M;-0.0178;2023;2;24;3147;6;7275.676799
2023-02-27 00:00:00;7243.03;7324.03;7243.03;69.31M;0.0151;2023;2;27;3148;2;7295.55
2023-02-28 00:00:00;7253.54;7317.98;7249.47;102.73M;-0.0038;2023;2;28;3149;3;7267.93
2023-03-01 00:00:00;7279.34;7327.29;7219.4;79.25M;-0.0046;2023;3;1;3150;4;7234.25
2023-03-02 00:00:00;7176.41;7286.24;7169.66;70.46M;0.0069;2023;3;2;3151;5;7284.22
2023-03-03 00:00:00;7313.48;7358.04;7308.15;67.66M;0.0088;2023;3;3;3152;6;7348.12
2023-03-04 00:00:00;7313.48;7358.04;7308.15;67.66M;0.0088;2023;3;3;3153;6;7382.016125
2023-03-05 00:00:00;7313.48;7358.04;7308.15;67.66M;0.0088;2023;3;3;3154;6;7388.059422
2023-03-06 00:00:00;7385.75;7401.15;7349.98;68.68M;0.0034;2023;3;6;3155;2;7373.21
2023-03-07 00:00:00;7355.87;7398.03;7336.2;64.09M;-0.0046;2023;3;7;3156;3;7339.27
2023-03-08 00:00:00;7305.92;7346.62;7305.92;56.91M;-0.002;2023;3;8;3157;4;7324.76
2023-03-09 00:00:00;7317.43;7333.22;7274.05;64.74M;-0.0012;2023;3;9;3158;5;7315.88
2023-03-10 00:00:00;7193.37;7256.48;7166.89;99.78M;-0.013;2023;3;10;3159;6;7220.67
2023-03-11 00:00:00;7193.37;7256.48;7166.89;99.78M;-0.013;2023;3;10;3160;6;7140.286575
2023-03-12 00:00:00;7193.37;7256.48;7166.89;99.78M;-0.013;2023;3;10;3161;6;7071.767652
2023-03-13 00:00:00;7211.44;7211.44;6979.55;141.25M;-0.029;2023;3;13;3162;2;7011.5
2023-03-14 00:00:00;7029.22;7162.57;6989.96;100.86M;0.0186;2023;3;14;3163;3;7141.57
2023-03-15 00:00:00;7123.2;7123.2;6861.63;174.80M;-0.0358;2023;3;15;3164;4;6885.71
2023-03-16 00:00:00;6987.63;7063.31;6876.61;132.83M;0.0203;2023;3;16;3165;5;7025.72
2023-03-17 00:00:00;7086.1;7104.75;6895.73;203.83M;-0.0143;2023;3;17;3166;6;6925.4
2023-03-18 00:00:00;7086.1;7104.75;6895.73;203.83M;-0.0143;2023;3;17;3167;6;6931.964625
2023-03-19 00:00:00;7086.1;7104.75;6895.73;203.83M;-0.0143;2023;3;17;3168;6;6958.125786
2023-03-20 00:00:00;6900.9;7049.76;6796.21;121.32M;0.0127;2023;3;20;3169;2;7013.14
2023-03-21 00:00:00;7089.01;7150.33;7083.81;94.86M;0.0142;2023;3;21;3170;3;7112.91
2023-03-22 00:00:00;7105.32;7157.73;7080.18;65.19M;0.0026;2023;3;22;3171;4;7131.12
2023-03-23 00:00:00;7118.14;7149.92;7073.5;71.14M;0.0011;2023;3;23;3172;5;7139.25
2023-03-24 00:00:00;7108.16;7108.66;6953.58;117.53M;-0.0174;2023;3;24;3173;6;7015.1
2023-03-25 00:00:00;7108.16;7108.66;6953.58;117.53M;-0.0174;2023;3;24;3174;6;7032.724005
2023-03-26 00:00:00;7108.16;7108.66;6953.58;117.53M;-0.0174;2023;3;24;3175;6;7057.771637
2023-03-27 00:00:00;7103.53;7119.59;7039.09;80.20M;0.009;2023;3;27;3176;2;7078.27
2023-03-28 00:00:00;7145.66;7154.56;7066.27;71.63M;0.0014;2023;3;28;3177;3;7088.34
2023-03-29 00:00:00;7141.05;7201.25;7125.12;78.05M;0.0139;2023;3;29;3178;4;7186.99
2023-03-30 00:00:00;7222.69;7292.39;7222.69;73.85M;0.0106;2023;3;30;3179;5;7263.37
2023-03-31 00:00:00;7271.19;7341.79;7264.82;84.34M;0.0081;2023;3;31;3180;6;7322.39
2023-04-01 00:00:00;7271.19;7341.79;7264.82;84.34M;0.0081;2023;3;31;3181;6;7339.206078
2023-04-02 00:00:00;7271.19;7341.79;7264.82;84.34M;0.0081;2023;3;31;3182;6;7344.499293
2023-04-03 00:00:00;7341.69;7362.39;7332.64;64.07M;0.0032;2023;4;3;3183;2;7345.96
2023-04-04 00:00:00;7375.79;7399.59;7344.34;66.32M;-0.0001;2023;4;4;3184;3;7344.96
2023-04-05 00:00:00;7350.03;7359.4;7300.33;76.91M;-0.0039;2023;4;5;3185;4;7316.3
2023-04-06 00:00:00;7328.57;7344.34;7312.61;67.27M;0.0012;2023;4;6;3186;5;7324.75
2023-04-07 00:00:00;7328.57;7344.34;7312.61;67.27M;0.0012;2023;4;6;3187;5;7337.473646
2023-04-08 00:00:00;7328.57;7344.34;7312.61;67.27M;0.0012;2023;4;6;3188;5;7350.641807
2023-04-09 00:00:00;7328.57;7344.34;7312.61;67.27M;0.0012;2023;4;6;3189;5;7364.001144
2023-04-10 00:00:00;7328.57;7344.34;7312.61;67.27M;0.0012;2023;4;6;3190;5;7377.298321
2023-04-11 00:00:00;7381.77;7403.67;7370.09;73.19M;0.0089;2023;4;11;3191;3;7390.28
2023-04-12 00:00:00;7396.81;7463.67;7379.79;63.58M;0.0009;2023;4;12;3192;4;7396.94
2023-04-13 00:00:00;7450.76;7485.59;7450.76;59.15M;0.0113;2023;4;13;3193;5;7480.83
2023-04-14 00:00:00;7500.77;7533.41;7491.43;71.86M;0.0052;2023;4;14;3194;6;7519.61
2023-04-15 00:00:00;7500.77;7533.41;7491.43;71.86M;0.0052;2023;4;14;3195;6;7515.749196
2023-04-16 00:00:00;7500.77;7533.41;7491.43;71.86M;0.0052;2023;4;14;3196;6;7497.019873
2023-04-17 00:00:00;7535.39;7552;7498.07;67.75M;-0.0028;2023;4;17;3197;2;7498.18
2023-04-18 00:00:00;7509;7559.35;7509;67.64M;0.0047;2023;4;18;3198;3;7533.63
2023-04-19 00:00:00;7530.54;7558.95;7513.77;63.09M;0.0021;2023;4;19;3199;4;7549.44
2023-04-20 00:00:00;7541.68;7546.07;7506.92;72.89M;-0.0014;2023;4;20;3200;5;7538.71
2023-04-21 00:00:00;7551.5;7577;7518.32;73.19M;0.0051;2023;4;21;3201;6;7577
2023-04-22 00:00:00;7551.5;7577;7518.32;73.19M;0.0051;2023;4;21;3202;6;7589.743372
